"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted"
"1",677.473999,704.031982,677.473999,700.218018,11053800,700.197266
"2",694.859009,694.859009,674.336975,678.086975,8685000,678.066895
"3",681.297974,691.887024,681.297974,688.520996,7604500,688.500549
"4",NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA
"6",691.924011,704.541992,691.924011,696.002991,17793800,695.982361
"7",696.29303,698.14502,686.705017,690.164001,14668700,690.143494
"8",690.79303,699.674988,688.401978,691.609985,23777100,691.589478
"9",691.80603,694.085022,683.700989,690.892029,24296600,690.871521
"10",691.604004,707.469971,691.604004,703.482971,12189200,703.462097
"11",703.799011,704.348999,681.489014,685.716003,9106600,685.695618
"12",685.916016,685.916016,652.039978,655.994995,16679500,655.975525
"13",656.414001,673.90802,656.414001,670.153015,12962300,670.133118
"14",670.28302,670.905029,662.932007,664.69397,9197300,664.674194
"15",664.69397,668.976013,653.549988,656.721985,10814200,656.702454
"16",656.169983,656.169983,645.473022,649.857971,10807600,649.838684
"17",649.674011,656.715027,640.239014,643.38501,13226300,643.365906
"18",643.632996,650.06897,633.812988,644.651001,9470000,644.631897
"19",645.299988,646.276001,633.271973,634.669006,11709000,634.650146
"20",634.502991,636.372009,626.296997,636.372009,6287300,636.353149
"21",636.760986,638.375977,613.530029,616.856018,5164600,616.837708
"22",617.104004,621.723022,601.45697,603.575989,5577200,603.558105
"23",603.051025,615.013977,600.156006,614.309998,4240700,614.291748
"24",614.309998,634.997986,614.309998,634.997986,6097900,634.979126
"25",635.341003,641.166992,631.974976,636.427979,5173700,636.409119
"26",637.955017,639.752014,627.203979,629.900024,4267400,629.881348
"27",631.426025,632.450989,626.085999,632.450989,8965100,632.43219
"28",631.40802,642.138,630.025024,639.252991,22673200,639.234009
"29",639.051025,640.934021,630.653992,635.078003,12484900,635.059143
"30",634.624023,638.091003,632.096985,633.715027,8869800,633.696228
"31",634.674988,641.606018,634.674988,636.89502,6730200,636.876099
"32",637.28302,637.28302,618.903015,621.901978,6584900,621.883545
"33",621.323975,623.703003,595.116028,600.174011,6388600,600.156189
"34",600.057007,604.575012,577.958984,599.572998,4987800,599.555176
"35",599.572998,599.572998,589.768982,592.987976,3970400,592.970398
"36",593.052002,596.114014,580.517029,583.419983,3728800,583.402649
"37",583.551025,591.786011,580.84198,584.427979,3912000,584.410645
"38",584.687988,587.281982,570.97998,573.487,3614400,573.469971
"39",573.781982,575.664001,565.346985,568.554993,3225700,568.538147
"40",568.166016,579.492004,567.151978,576.541992,3440800,576.524841
